"Respond","Call Final Disposition","Neighborhooods - Analysis Boundaries"
"3.3833333333333333","Code 2 Transport","Tenderloin"
"3.4833333333333334","Code 2 Transport","Tenderloin"
"8.216666666666667","Fire","Chinatown"
"2.0166666666666666","Fire","Chinatown"
"0.7166666666666667","Code 2 Transport","Tenderloin"
"1.8833333333333333","Fire","Tenderloin"
"3.7333333333333334","Code 2 Transport","Tenderloin"
"3.966666666666667","Code 2 Transport","Tenderloin"
"2.6666666666666665","Code 2 Transport","Tenderloin"
"5.816666666666666","Code 2 Transport","Chinatown"
"4.2","Code 2 Transport","Chinatown"
"1.8833333333333333","Code 2 Transport","Nob Hill"
"2.45","Patient Declined Transport","Tenderloin"
"2.3","Code 2 Transport","Tenderloin"
"4.816666666666666","Code 2 Transport","Tenderloin"
"1.5833333333333333","Code 2 Transport","Tenderloin"
"5.816666666666666","Unable to Locate","Tenderloin"
"2.783333333333333","Code 2 Transport","North Beach"
"1.8833333333333333","Code 2 Transport","North Beach"
"2.3","Code 2 Transport","Tenderloin"
"1.7666666666666666","Code 2 Transport","Tenderloin"
"1.9","Code 2 Transport","Tenderloin"
"2.216666666666667","Code 2 Transport","Tenderloin"
"1.8","Code 2 Transport","Tenderloin"
"2.0166666666666666","Code 2 Transport","Tenderloin"
"1.4833333333333334","Code 2 Transport","Tenderloin"
"1.2166666666666666","Code 2 Transport","Tenderloin"
"2.216666666666667","Against Medical Advice","Nob Hill"
"3.85","Against Medical Advice","Nob Hill"
"2.15","Against Medical Advice","Nob Hill"
"4.666666666666667","Code 2 Transport","Tenderloin"
"4.3","Code 2 Transport","Tenderloin"
"3.6166666666666667","Code 2 Transport","Russian Hill"
"2.35","Cancelled","Tenderloin"
"2.75","Cancelled","Tenderloin"
"3.5166666666666666","Code 2 Transport","Tenderloin"
"2.566666666666667","Code 2 Transport","Tenderloin"
"3.066666666666667","Fire","Tenderloin"
"1.5166666666666666","Code 2 Transport","Tenderloin"
"4.216666666666667","Code 2 Transport","Tenderloin"
"10.1","Code 2 Transport","Chinatown"
"6.366666666666666","Code 2 Transport","Chinatown"
"4.35","Code 2 Transport","Nob Hill"
"5.916666666666667","Code 2 Transport","Tenderloin"
"6.7","Code 2 Transport","Tenderloin"
"4.466666666666667","No Merit","Tenderloin"
"5.783333333333333","No Merit","Tenderloin"
"4","No Merit","Tenderloin"
"10.2","Fire","Tenderloin"
"7.216666666666667","Fire","Tenderloin"
"6.533333333333333","Fire","Tenderloin"
"1.55","Fire","Tenderloin"
"5.216666666666667","Patient Declined Transport","Tenderloin"
"3.6","Patient Declined Transport","Tenderloin"
"3.216666666666667","Fire","Tenderloin"
"4.433333333333334","Fire","Russian Hill"
"3.5","Fire","Russian Hill"
"4.033333333333333","Fire","Russian Hill"
"2.9","Patient Declined Transport","Russian Hill"
"1.3666666666666667","Patient Declined Transport","Russian Hill"
"0","Fire","Nob Hill"
"0","Fire","Nob Hill"
"2.466666666666667","Fire","Nob Hill"
"6.466666666666667","Code 2 Transport","Tenderloin"
"4.383333333333334","Code 2 Transport","Tenderloin"
"3.783333333333333","Fire","Russian Hill"
"3.7333333333333334","Fire","Russian Hill"
"3.8","Fire","Russian Hill"
"3.3833333333333333","Fire","Russian Hill"
"3.466666666666667","Fire","Russian Hill"
"3.6333333333333333","Fire","Russian Hill"
"3.4166666666666665","Fire","Russian Hill"
"4.166666666666667","Fire","Russian Hill"
"3.8","Fire","Russian Hill"
"3.6666666666666665","Fire","Russian Hill"
"2.3833333333333333","Fire","Russian Hill"
"1.5833333333333333","Code 3 Transport","Nob Hill"
"5.8","Code 3 Transport","Nob Hill"
"5.266666666666667","Code 3 Transport","Nob Hill"
"7.95","Code 3 Transport","Nob Hill"
"7.3","Code 3 Transport","Nob Hill"
"5.216666666666667","Code 3 Transport","Nob Hill"
"0.3333333333333333","Code 3 Transport","Nob Hill"
"6.733333333333333","Code 2 Transport","Nob Hill"
"2.15","Code 2 Transport","Nob Hill"
"1.85","Code 2 Transport","Nob Hill"
"0.9","Code 2 Transport","Nob Hill"
"2.066666666666667","Code 2 Transport","Tenderloin"
